Date	Time	Voltage L1N Min	Voltage L1N Avg	Voltage L1N Max	Voltage NG Min	Voltage NG Avg	Voltage NG Max	Peak Voltage L1N Min	Peak Voltage L1N Avg	Peak Voltage L1N Max	Peak Voltage NG Min	Peak Voltage NG Avg	Peak Voltage NG Max	Voltage Crest Factor L1N Min	Voltage Crest Factor L1N Avg	Voltage Crest Factor L1N Max	Voltage Crest Factor NG Min	Voltage Crest Factor NG Avg	Voltage Crest Factor NG Max	Current L1 Min	Current L1 Avg	Current L1 Max	Current N Min	Current N Avg	Current N Max	Peak Current L1 Min	Peak Current L1 Avg	Peak Current L1 Max	Peak Current N Min	Peak Current N Avg	Peak Current N Max	Current Crest Factor L1 Min	Current Crest Factor L1 Avg	Current Crest Factor L1 Max	Current Crest Factor N Min	Current Crest Factor N Avg	Current Crest Factor N Max	Frequency Min	Frequency Avg	Frequency Max	
18/07/2018	19:09:29.094	3.460	3.510	3.530	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.740	1.780	1.820	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.988	59.989	59.989	
18/07/2018	19:09:30.094	3.460	3.460	3.460	.010	.010	.010	6.100	6.200	6.200	.000	.000	.000	1.770	1.780	1.800	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.989	59.989	59.990	
18/07/2018	19:09:31.094	3.460	3.460	3.460	.010	.010	.010	6.200	6.200	6.300	.000	.000	.000	1.780	1.800	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.990	59.990	59.991	
18/07/2018	19:09:32.094	3.460	3.460	3.460	.010	.010	.010	6.200	6.200	6.400	.000	.000	.000	1.780	1.800	1.840	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.991	59.991	59.992	
18/07/2018	19:09:33.094	3.460	3.460	3.460	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.770	1.790	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.992	59.992	59.993	
18/07/2018	19:09:34.094	3.460	3.470	3.470	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.770	1.790	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.993	59.993	59.994	
18/07/2018	19:09:35.094	3.470	3.470	3.470	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.770	1.790	1.820	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.994	59.994	59.995	
18/07/2018	19:09:36.094	3.470	3.470	3.470	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.750	1.790	1.820	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.995	59.995	59.996	
18/07/2018	19:09:37.094	3.460	3.460	3.460	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.770	1.790	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.996	59.996	59.997	
18/07/2018	19:09:38.094	3.460	3.460	3.460	.010	.010	.010	6.100	6.200	6.300	.000	.000	.000	1.770	1.780	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.140	.140	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.997	59.997	59.998	
